Population,Town,State,Latitude,Longitude,Retailer,General,News,Educational,Juvenile,DepartmentStore,DrugStore,GiftStore,CirculatingLibrary,SecondHand,OldandRare,Medical,Law,Religious,Foreign,Wholesale,Music,X
6172,Roswell,NEW MEXICO,33.3942655,-104.5230242,"Ballard & Dustin News Stand, 30.3% N. Main St. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
6172,Roswell,NEW MEXICO,33.3942655,-104.5230242,"Colbeau Stationery Shop, 208 N. Main St. GGij",1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ghj
6172,Roswell,NEW MEXICO,33.3942655,-104.5230242,"Roswell Drug Co., 126 N. Main St. Dr",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u
5072,Santa Fe,NEW MEXICO,35.6869752,-105.937799,"Collins, J. F., Co. GO",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,go
3217,Silver City,NEW MEXICO,32.770075,-108.280326,"Blackwells Bookstore, 300 Bullard St. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
1750,Adams,NEW YORK,43.8092321,-76.0240892,The Adams Bookstore G,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
2000,Addison,NEW YORK,42.1028514,-77.2335879,"O'Connor, J. P. GN",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gn
113314,Albany,NEW YORK,42.6525793,-73.7562317,"Albany News Co. (Branch of American News Co.), 6 E. Orange St.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,w
113314,Albany,NEW YORK,42.6525793,-73.7562317,"Bender, Mathew, & Co., Io9 State St. L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,l
113314,Albany,NEW YORK,42.6525793,-73.7562317,"Cadby, J. W., 50 Grand St. SN",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,sn
