Name,Town,State,Latitude,Longitude,Class,Subclass,Frequency,Circulation
Northwestern,Belvidere,IL,42.2639098,-88.8442674,Republican,,Weekly,1060
Plaindealer,Charleston,IL,39.4961458,-88.1761521,Republican,,Weekly,1200
Alliance,Chicago,IL,41.8781136,-87.6297982,Religious,Independent,Weekly,
Advance,Chicago,IL,41.8781136,-87.6297982,Religious,Congregational,Weekly,12000
American Poultry Journal,Chicago,IL,41.8781136,-87.6297982,Agricultural,,Monthly,3300
Courier,Chicago,IL,41.8781136,-87.6297982,Democrat,,Daily,7500
Democrat,Chicago,IL,41.8781136,-87.6297982,Democrat,,Weekly,
Engineering News,Chicago,IL,41.8781136,-87.6297982,Industrial,,Weekly,1450
Eulenspiegel,Chicago,IL,41.8781136,-87.6297982,Ethnic,,Weekly,
Freie Presse,Chicago,IL,41.8781136,-87.6297982,Republican,,Daily,5200
Interior,Chicago,IL,41.8781136,-87.6297982,Religious,Presbyterian,Weekly,8500
Industrial Age,Chicago,IL,41.8781136,-87.6297982,Radical,Grange Paper,Weekly,5000
Journal,Chicago,IL,41.8781136,-87.6297982,Republican,,Daily,15000
Northwestern Christian Advocate,Chicago,IL,41.8781136,-87.6297982,Religious,Methodist,Weekly,14000
New Covenant,Chicago,IL,41.8781136,-87.6297982,Religious,Universalist,Weekly,4500
National Sunday School Teacher,Chicago,IL,41.8781136,-87.6297982,Religious,Evangelical,Monthly,15500
Pomeroy's Democrat,Chicago,IL,41.8781136,-87.6297982,Democrat,,Weekly,30000
Prairie Farmer,Chicago,IL,41.8781136,-87.6297982,Agricultural,,Weekly,20000
Pilot,Chicago,IL,41.8781136,-87.6297982,Religious,Catholic,Weekly,9600
Times,Chicago,IL,41.8781136,-87.6297982,Democrat,,Daily,37000
Tribune,Chicago,IL,41.8781136,-87.6297982,Republican,,Daily,28000
Telegraph,Chicago,IL,41.8781136,-87.6297982,Independent,,Daily,14000
Western Catholic,Chicago,IL,41.8781136,-87.6297982,Religious,Catholic,Weekly,14000
Western Farm Journal,Chicago,IL,41.8781136,-87.6297982,Agricultural,,Weekly,9000
Western Journal of Education,Chicago,IL,41.8781136,-87.6297982,Educational,,Monthly,2500
Advocate,Greenville,IL,38.8922687,-89.4131356,Republican,,Weekly,1125
Chronicle,Hoopeston,IL,40.4672587,-87.6683573,Republican,,Weekly,1100
Phoenix,Lockport,IL,41.5894752,-88.057837,Independent,,Weekly,1500
Plaindealer,McHenry,IL,42.333355,-88.2667534,Independent,,Weekly,
Journal,Macomb,IL,40.4592076,-90.6717971,Republican,,Weekly,1275
Atlas,Monmouth,IL,40.9114271,-90.6473576,Republican,,Weekly,1475
Herald,Morris,IL,41.357254,-88.4211785,Republican,,Weekly,1120
Carroll County Mirror,Mt. Carroll,IL,42.0950233,-89.9781797,Republican,,Weekly,890
Republican,Ottawa,IL,41.3455892,-88.8425769,Republican,,Weekly,1686
Beacon and Valley Blade,Paris,IL,39.611146,-87.6961374,Republican,,Weekly,1040
Tazewell County Republican,Pekin,IL,40.5675388,-89.640658,Republican,,Weekly,1480
Advertiser,Peoria,IL,40.6936488,-89.5889864,Independent,,Weekly,1650
Old Flag,Pittsfield,IL,39.6078254,-90.8051289,Republican,,Weekly,1120
Sentinel,Pontiac,IL,40.8808666,-88.6297839,Republican,,Weekly,1666
Bureau County Tribune,Princeton,IL,41.3680919,-89.4648145,Independent,,Weekly,
Register,Rochelle,IL,41.9239178,-89.0687073,Republican,,Weekly,1000
Journal,Rockford,IL,42.2711311,-89.0939952,Independent,,Weekly,1560
Times,Rockford,IL,42.2711311,-89.0939952,Independent,,Weekly,1525
Free Press,Sandwich,IL,41.6458634,-88.6217432,Independent,,Weekly,960
Gazette,Sterling,IL,41.788642,-89.6962194,Republican,,Weekly,
True Republican,Sycamore,IL,41.9889173,-88.6867538,Republican,,Weekly,975
Republican,Taylorville,IL,39.548935,-89.294533,Republican,,Weekly,1100
Journal,Tuscola,IL,39.7991985,-88.2831038,Republican,,Weekly,1200
Times,Watseka,IL,40.7761465,-87.7364218,Radical,Grange Paper,Weekly,1200
Gazette,Waukegan,IL,42.3636331,-87.8447938,Republican,,Weekly,1720
Sentinel,Woodstock,IL,42.3147436,-88.4487021,Republican,,Weekly,2000
Record,Yorkville,IL,41.6411409,-88.4472948,Republican,,Weekly,1512
Odd Fellows' Banner,Bloomfield,IA,40.7516884,-92.4149074,Fraternal club,,Weekly,7000
Hawkeye,Burlington,IA,40.8076529,-91.1128901,Republican,,Daily,
Courier-Journal,Louisville,KY,38.2526647,-85.7584557,Democrat,,Daily,12000
Journal,Boston,MA,42.3600825,-71.0588801,Republican,,Daily,33500
Post,Boston,MA,42.3600825,-71.0588801,Democrat,,Daily,8600
Banner of Light,Boston,MA,42.3600825,-71.0588801,Religious,Spiritualist,Weekly,12100
Cultivator,Boston,MA,42.3600825,-71.0588801,Agricultural,,Weekly,15000
Index,Boston,MA,42.3600825,-71.0588801,Radical,,Weekly,3200
Investigator,Boston,MA,42.3600825,-71.0588801,Religious,Anti-Religious,Weekly,4655
Massachusetts Ploughman,Boston,MA,42.3600825,-71.0588801,Agricultural,,Weekly,8600
New England Farmer,Boston,MA,42.3600825,-71.0588801,Agricultural,,Weekly,13800
New England Journal of Education,Boston,MA,42.3600825,-71.0588801,Educational,,Weekly,6000
Universalist,Boston,MA,42.3600825,-71.0588801,Religious,Universalist,Weekly,5100
Woman's Journal,Boston,MA,42.3600825,-71.0588801,Radical,Suffrage,Weekly,48067
